thanh_pho,quan_huyen,dien_tich_m2,so_phong_ngu,so_phong_tam,so_tang,mat_tien_m,huong_nha,phap_ly,gia_trieu_vnd,gia_trieu_per_m2
TP.HCM,Quận 7,298.6,3,3,5,5.0,Tây Nam,Sổ đỏ/Sổ hồng,49690.1,166.41
Hải Phòng,Lê Chân,69.8,4,3,3,6.0,Tây,Sổ đỏ/Sổ hồng,2711.0,38.84
Đà Nẵng,Ngũ Hành Sơn,155.8,4,4,3,12.0,Đông Nam,Sổ đỏ/Sổ hồng,12318.3,79.07
TP.HCM,Thủ Đức,244.9,4,4,1,4.0,Đông,Sổ đỏ/Sổ hồng,17601.6,71.87
TP.HCM,Quận 9,255.0,4,3,3,6.0,Bắc,Sổ đỏ/Sổ hồng,24413.8,95.74
Hà Nội,Đống Đa,45.3,4,4,5,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,6655.4,146.92
TP.HCM,Gò Vấp,347.1,4,4,3,12.0,Đông Nam,Sổ đỏ/Sổ hồng,43461.7,125.21
Hà Nội,Ba Đình,215.4,3,2,3,6.0,Nam,Đang chờ sổ,38437.3,178.45
TP.HCM,Quận 7,147.5,3,2,4,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,16363.3,110.94
Hà Nội,Long Biên,318.8,5,4,4,8.0,Đông,Sổ đỏ/Sổ hồng,36239.3,113.67
Hà Nội,Đống Đa,238.5,5,4,2,3.0,Đông Bắc,Sổ đỏ/Sổ hồng,27900.6,116.98
Hà Nội,Hà Đông,341.8,3,3,3,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,30838.5,90.22
Hà Nội,Đống Đa,226.4,3,3,3,2.0,Nam,Sổ đỏ/Sổ hồng,38459.8,169.88
Hà Nội,Hà Đông,203.2,2,1,5,3.0,Tây,Sổ đỏ/Sổ hồng,15623.0,76.89
Đà Nẵng,Thanh Khê,343.4,2,2,2,12.0,Đông,Sổ đỏ/Sổ hồng,25619.6,74.61
TP.HCM,Quận 2,84.5,1,1,2,3.0,Đông,Hợp đồng mua bán,10530.8,124.62
TP.HCM,Quận 3,156.3,3,3,4,2.0,Tây,Sổ đỏ/Sổ hồng,29001.7,185.55
TP.HCM,Phú Nhuận,70.8,4,4,3,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,11556.0,163.22
TP.HCM,Thủ Đức,280.8,2,2,3,12.0,Nam,Hợp đồng mua bán,26008.6,92.62
Hà Nội,Đống Đa,202.1,4,3,3,12.0,Tây Bắc,Hợp đồng mua bán,32708.8,161.84
Hải Phòng,Lê Chân,332.7,3,2,4,10.0,Tây,Sổ đỏ/Sổ hồng,15424.3,46.36
Hải Phòng,Hồng Bàng,152.0,4,4,3,2.0,Nam,Sổ đỏ/Sổ hồng,8752.0,57.58
Cần Thơ,Bình Thủy,55.6,3,3,3,6.0,Tây Bắc,Hợp đồng mua bán,1508.9,27.14
Hải Phòng,Kiến An,194.1,3,2,4,10.0,Tây Bắc,Hợp đồng mua bán,7760.0,39.98
Hà Nội,Hà Đông,189.8,3,3,2,6.0,Tây Bắc,Hợp đồng mua bán,11739.8,61.85
TP.HCM,Gò Vấp,339.5,4,4,4,8.0,Tây Nam,Đang chờ sổ,30154.1,88.82
Cần Thơ,Ninh Kiều,260.7,3,2,4,10.0,Nam,Sổ đỏ/Sổ hồng,12186.3,46.74
TP.HCM,Quận 1,34.5,4,3,1,6.0,Nam,Sổ đỏ/Sổ hồng,11762.5,340.94
Đà Nẵng,Thanh Khê,61.0,4,4,3,10.0,Bắc,Sổ đỏ/Sổ hồng,3515.6,57.63
TP.HCM,Quận 7,310.9,3,2,4,12.0,Tây,Sổ đỏ/Sổ hồng,44819.2,144.16
Hà Nội,Nam Từ Liêm,265.4,2,2,3,12.0,Tây Bắc,Sổ đỏ/Sổ hồng,36081.8,135.95
TP.HCM,Quận 7,35.1,4,3,2,12.0,Tây Bắc,Sổ đỏ/Sổ hồng,4546.8,129.54
Hải Phòng,Kiến An,347.3,2,1,3,5.0,Tây,Sổ đỏ/Sổ hồng,10519.4,30.29
Hà Nội,Cầu Giấy,273.0,3,2,5,5.0,Đông,Hợp đồng mua bán,46353.4,169.79
TP.HCM,Quận 3,236.5,4,4,3,4.0,Tây,Sổ đỏ/Sổ hồng,44583.9,188.52
Hải Phòng,Kiến An,66.9,3,3,2,5.0,Đông,Sổ đỏ/Sổ hồng,2483.6,37.12
Hải Phòng,Lê Chân,66.4,4,3,5,3.0,Nam,Hợp đồng mua bán,2205.2,33.21
Cần Thơ,Cái Răng,206.7,3,3,2,10.0,Bắc,Sổ đỏ/Sổ hồng,7273.0,35.19
TP.HCM,Thủ Đức,110.6,1,1,3,2.0,Đông Bắc,Sổ đỏ/Sổ hồng,8784.9,79.43
Hà Nội,Nam Từ Liêm,40.6,5,4,4,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,5569.8,137.19
TP.HCM,Quận 1,117.7,3,3,5,3.0,Đông Nam,Sổ đỏ/Sổ hồng,30170.6,256.33
Đà Nẵng,Sơn Trà,183.7,4,4,5,5.0,Nam,Hợp đồng mua bán,14431.1,78.56
TP.HCM,Tân Bình,164.9,3,2,3,10.0,Đông,Sổ đỏ/Sổ hồng,17809.4,108.0
Hà Nội,Thanh Xuân,230.2,3,3,3,10.0,Tây Nam,Sổ đỏ/Sổ hồng,26256.8,114.06
Đà Nẵng,Sơn Trà,237.0,5,4,3,2.0,Đông,Sổ đỏ/Sổ hồng,13642.7,57.56
Hải Phòng,Ngô Quyền,142.6,3,2,5,4.0,Bắc,Sổ đỏ/Sổ hồng,6796.0,47.66
TP.HCM,Quận 7,88.7,3,3,3,2.0,Đông Nam,Sổ đỏ/Sổ hồng,14752.4,166.32
Hà Nội,Hà Đông,36.9,2,1,3,6.0,Đông,Sổ đỏ/Sổ hồng,3195.6,86.6
Hà Nội,Nam Từ Liêm,154.0,2,2,4,6.0,Nam,Hợp đồng mua bán,17383.4,112.88
Hà Nội,Cầu Giấy,171.4,5,5,3,5.0,Nam,Sổ đỏ/Sổ hồng,35445.1,206.8
Đà Nẵng,Ngũ Hành Sơn,244.2,3,2,5,3.0,Đông Nam,Sổ đỏ/Sổ hồng,17390.3,71.21
Hà Nội,Long Biên,38.2,4,3,2,8.0,Đông,Sổ đỏ/Sổ hồng,3624.1,94.87
Hà Nội,Hà Đông,269.1,2,1,2,2.0,Tây Nam,Sổ đỏ/Sổ hồng,22636.9,84.12
TP.HCM,Quận 7,217.9,1,1,2,2.0,Đông,Sổ đỏ/Sổ hồng,23485.6,107.78
TP.HCM,Phú Nhuận,318.3,2,1,5,3.0,Đông,Hợp đồng mua bán,49163.0,154.45
TP.HCM,Tân Bình,212.6,1,1,4,10.0,Tây Nam,Sổ đỏ/Sổ hồng,31822.9,149.68
Hà Nội,Thanh Xuân,250.1,3,3,1,2.0,Đông Nam,Hợp đồng mua bán,24869.4,99.44
Hà Nội,Cầu Giấy,171.3,3,3,3,12.0,Nam,Sổ đỏ/Sổ hồng,33172.2,193.65
TP.HCM,Bình Thạnh,152.7,3,2,2,6.0,Tây Nam,Sổ đỏ/Sổ hồng,23249.0,152.25
Hà Nội,Đống Đa,135.4,3,2,3,4.0,Tây Nam,Sổ đỏ/Sổ hồng,17973.4,132.74
Hà Nội,Hai Bà Trưng,300.3,3,2,2,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,41596.6,138.52
Hà Nội,Thanh Xuân,99.3,5,5,5,5.0,Tây,Sổ đỏ/Sổ hồng,9257.7,93.23
TP.HCM,Quận 9,153.5,3,3,3,8.0,Tây,Đang chờ sổ,8811.6,57.4
Cần Thơ,Ninh Kiều,179.1,3,2,4,2.0,Đông Nam,Sổ đỏ/Sổ hồng,10590.3,59.13
TP.HCM,Gò Vấp,201.0,2,2,3,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,24486.5,121.82
TP.HCM,Quận 3,109.3,2,2,3,10.0,Bắc,Sổ đỏ/Sổ hồng,29079.0,266.05
TP.HCM,Quận 1,213.7,2,2,2,3.0,Nam,Sổ đỏ/Sổ hồng,68334.3,319.77
Đà Nẵng,Thanh Khê,227.6,3,2,3,10.0,Đông Nam,Sổ đỏ/Sổ hồng,17779.6,78.12
Đà Nẵng,Sơn Trà,68.0,3,2,4,6.0,Tây Nam,Hợp đồng mua bán,3447.7,50.7
Đà Nẵng,Ngũ Hành Sơn,43.8,4,4,4,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,2670.7,60.97
Cần Thơ,Bình Thủy,216.3,3,2,3,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,7664.3,35.43
Hải Phòng,Lê Chân,212.6,4,3,3,5.0,Nam,Sổ đỏ/Sổ hồng,10367.9,48.77
Đà Nẵng,Sơn Trà,90.2,2,1,1,2.0,Đông,Sổ đỏ/Sổ hồng,4440.2,49.23
Hà Nội,Cầu Giấy,170.7,3,2,2,10.0,Tây Bắc,Hợp đồng mua bán,29219.2,171.17
Hà Nội,Cầu Giấy,250.1,2,1,3,5.0,Tây,Sổ đỏ/Sổ hồng,41758.3,166.97
TP.HCM,Quận 7,349.3,4,4,1,8.0,Tây Nam,Sổ đỏ/Sổ hồng,45578.9,130.49
TP.HCM,Phú Nhuận,26.8,5,4,3,10.0,Đông,Hợp đồng mua bán,4705.6,175.58
Hà Nội,Nam Từ Liêm,260.0,3,2,3,8.0,Nam,Sổ đỏ/Sổ hồng,27034.9,103.98
Đà Nẵng,Liên Chiểu,251.8,1,1,3,12.0,Tây,Sổ đỏ/Sổ hồng,12559.1,49.88
Đà Nẵng,Ngũ Hành Sơn,72.2,4,3,2,5.0,Tây,Sổ đỏ/Sổ hồng,4475.5,61.99
Hải Phòng,Ngô Quyền,111.5,1,1,3,2.0,Đông,Sổ đỏ/Sổ hồng,5817.4,52.17
TP.HCM,Phú Nhuận,160.2,4,4,4,10.0,Tây Bắc,Sổ đỏ/Sổ hồng,31124.3,194.28
TP.HCM,Bình Thạnh,232.1,3,2,4,5.0,Đông Nam,Hợp đồng mua bán,31402.0,135.3
TP.HCM,Tân Bình,259.2,3,3,2,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,20474.0,78.99
Đà Nẵng,Hải Châu,25.0,3,2,4,8.0,Đông Bắc,Hợp đồng mua bán,1896.5,75.86
TP.HCM,Gò Vấp,105.2,4,4,5,2.0,Đông,Sổ đỏ/Sổ hồng,11149.4,105.98
Hải Phòng,Kiến An,281.4,4,4,3,8.0,Tây Bắc,Đang chờ sổ,8620.0,30.63
Hà Nội,Long Biên,185.5,3,3,4,10.0,Tây,Sổ đỏ/Sổ hồng,17814.1,96.03
Hải Phòng,Hồng Bàng,339.0,4,4,3,2.0,Đông Bắc,Sổ đỏ/Sổ hồng,15654.3,46.18
TP.HCM,Phú Nhuận,40.7,3,2,3,12.0,Đông,Sổ đỏ/Sổ hồng,6688.9,164.35
TP.HCM,Quận 7,145.2,2,2,2,6.0,Đông Nam,Sổ đỏ/Sổ hồng,24387.0,167.95
TP.HCM,Gò Vấp,178.5,4,4,4,10.0,Đông Nam,Sổ đỏ/Sổ hồng,22550.8,126.34
Hải Phòng,Kiến An,265.0,3,2,1,5.0,Tây Bắc,Sổ đỏ/Sổ hồng,8411.5,31.74
Hà Nội,Cầu Giấy,241.7,4,3,3,5.0,Tây Nam,Hợp đồng mua bán,26665.4,110.32
TP.HCM,Thủ Đức,297.4,4,3,3,2.0,Nam,Sổ đỏ/Sổ hồng,28918.2,97.24
TP.HCM,Thủ Đức,260.6,4,3,3,8.0,Đông,Sổ đỏ/Sổ hồng,29487.9,113.15
Đà Nẵng,Ngũ Hành Sơn,342.2,2,2,1,10.0,Đông Bắc,Sổ đỏ/Sổ hồng,18274.8,53.4
TP.HCM,Phú Nhuận,136.1,4,4,2,8.0,Bắc,Sổ đỏ/Sổ hồng,21723.4,159.61
TP.HCM,Tân Bình,310.8,4,3,4,2.0,Tây Nam,Hợp đồng mua bán,29134.2,93.74
TP.HCM,Bình Thạnh,317.3,4,4,2,5.0,Đông Nam,Hợp đồng mua bán,38513.8,121.38
Hà Nội,Hoàng Mai,346.8,2,1,5,3.0,Nam,Đang chờ sổ,22456.8,64.75
TP.HCM,Quận 9,88.6,2,1,4,4.0,Đông Nam,Sổ đỏ/Sổ hồng,10120.0,114.22
TP.HCM,Bình Thạnh,151.2,4,4,4,10.0,Bắc,Sổ đỏ/Sổ hồng,25468.8,168.44
TP.HCM,Quận 2,249.2,4,3,1,5.0,Đông,Sổ đỏ/Sổ hồng,29148.4,116.97
Cần Thơ,Cái Răng,272.4,3,2,3,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,9466.8,34.75
TP.HCM,Quận 9,83.6,3,3,2,6.0,Tây Bắc,Sổ đỏ/Sổ hồng,5320.9,63.65
Đà Nẵng,Sơn Trà,282.8,4,3,3,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,16112.7,56.98
TP.HCM,Quận 9,194.8,2,2,3,4.0,Tây Nam,Sổ đỏ/Sổ hồng,16960.8,87.07
Cần Thơ,Cái Răng,262.9,3,3,5,6.0,Tây Bắc,Đang chờ sổ,7314.7,27.82
Hà Nội,Hà Đông,276.3,3,2,3,10.0,Đông,Sổ đỏ/Sổ hồng,28239.4,102.21
Đà Nẵng,Ngũ Hành Sơn,28.9,1,1,3,5.0,Tây,Hợp đồng mua bán,1155.8,39.99
Đà Nẵng,Thanh Khê,192.3,4,3,3,2.0,Đông Nam,Sổ đỏ/Sổ hồng,11510.8,59.86
Hà Nội,Nam Từ Liêm,75.0,5,4,5,12.0,Đông,Hợp đồng mua bán,8321.9,110.96
TP.HCM,Phú Nhuận,35.6,2,2,3,8.0,Đông,Hợp đồng mua bán,5070.4,142.43
TP.HCM,Quận 3,238.4,2,1,4,5.0,Bắc,Sổ đỏ/Sổ hồng,58831.0,246.77
Đà Nẵng,Liên Chiểu,36.7,2,1,3,2.0,Đông Nam,Sổ đỏ/Sổ hồng,1839.3,50.12
TP.HCM,Phú Nhuận,192.9,4,4,2,10.0,Tây Nam,Đang chờ sổ,32535.9,168.67
TP.HCM,Bình Thạnh,292.5,4,3,2,6.0,Tây Bắc,Sổ đỏ/Sổ hồng,33433.2,114.3
Hải Phòng,Kiến An,231.7,3,2,5,6.0,Đông,Sổ đỏ/Sổ hồng,10105.6,43.62
Đà Nẵng,Liên Chiểu,261.2,4,3,3,4.0,Tây,Hợp đồng mua bán,9715.5,37.2
Hà Nội,Long Biên,327.6,3,3,4,2.0,Đông Nam,Sổ đỏ/Sổ hồng,34075.4,104.02
Hà Nội,Hoàng Mai,90.2,2,2,2,4.0,Tây Bắc,Sổ đỏ/Sổ hồng,7848.8,87.02
Cần Thơ,Bình Thủy,262.8,3,3,4,10.0,Tây,Sổ đỏ/Sổ hồng,8905.3,33.89
Đà Nẵng,Sơn Trà,113.2,2,1,5,8.0,Bắc,Đang chờ sổ,7516.2,66.4
TP.HCM,Phú Nhuận,73.6,3,3,3,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,12655.7,171.95
TP.HCM,Quận 9,181.6,3,2,2,2.0,Nam,Hợp đồng mua bán,10962.8,60.37
TP.HCM,Quận 2,80.9,5,5,4,12.0,Tây Nam,Hợp đồng mua bán,12793.6,158.14
Hải Phòng,Lê Chân,65.7,4,4,2,4.0,Đông,Sổ đỏ/Sổ hồng,2451.6,37.32
Hà Nội,Đống Đa,76.1,2,2,4,10.0,Đông Nam,Đang chờ sổ,11022.4,144.84
TP.HCM,Bình Thạnh,280.5,4,3,1,4.0,Bắc,Sổ đỏ/Sổ hồng,37749.6,134.58
TP.HCM,Quận 3,167.2,2,2,3,8.0,Đông,Sổ đỏ/Sổ hồng,37810.2,226.14
TP.HCM,Phú Nhuận,258.5,4,4,5,8.0,Nam,Đang chờ sổ,39070.6,151.14
Hải Phòng,Hồng Bàng,76.1,3,3,2,8.0,Nam,Sổ đỏ/Sổ hồng,3534.6,46.45
Hà Nội,Long Biên,210.8,4,4,3,5.0,Tây Bắc,Sổ đỏ/Sổ hồng,16821.1,79.8
Hà Nội,Thanh Xuân,124.7,3,3,5,6.0,Đông,Hợp đồng mua bán,14545.8,116.65
Hà Nội,Ba Đình,117.9,3,3,3,4.0,Tây,Sổ đỏ/Sổ hồng,22931.0,194.5
Cần Thơ,Bình Thủy,263.4,2,2,3,8.0,Đông Nam,Sổ đỏ/Sổ hồng,9317.0,35.37
Hà Nội,Hoàng Mai,322.3,1,1,3,2.0,Tây,Đang chờ sổ,16684.5,51.77
TP.HCM,Phú Nhuận,86.7,3,3,2,5.0,Tây Nam,Sổ đỏ/Sổ hồng,12307.2,141.95
TP.HCM,Quận 3,118.4,4,3,2,10.0,Tây Nam,Sổ đỏ/Sổ hồng,31438.3,265.53
Hà Nội,Nam Từ Liêm,54.9,3,2,1,3.0,Đông Bắc,Sổ đỏ/Sổ hồng,5599.4,101.99
TP.HCM,Quận 9,171.5,4,3,2,5.0,Nam,Sổ đỏ/Sổ hồng,17862.3,104.15
Hải Phòng,Ngô Quyền,171.0,3,3,4,12.0,Đông Nam,Sổ đỏ/Sổ hồng,11027.1,64.49
Đà Nẵng,Hải Châu,41.4,3,3,3,2.0,Đông,Sổ đỏ/Sổ hồng,3444.4,83.2
TP.HCM,Quận 9,265.3,2,1,2,3.0,Nam,Sổ đỏ/Sổ hồng,18579.9,70.03
Đà Nẵng,Hải Châu,166.1,3,3,3,4.0,Tây,Đang chờ sổ,8106.0,48.8
TP.HCM,Quận 2,103.7,4,3,3,6.0,Tây Nam,Sổ đỏ/Sổ hồng,18888.9,182.15
Hà Nội,Ba Đình,94.7,3,2,5,4.0,Đông Nam,Sổ đỏ/Sổ hồng,21140.5,223.24
TP.HCM,Quận 3,146.0,3,2,4,4.0,Bắc,Đang chờ sổ,24938.9,170.81
Hà Nội,Hoàng Mai,191.9,3,3,3,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,19649.8,102.4
TP.HCM,Quận 2,133.4,4,4,4,2.0,Tây,Hợp đồng mua bán,15813.6,118.54
TP.HCM,Gò Vấp,164.0,3,2,2,10.0,Bắc,Sổ đỏ/Sổ hồng,18340.1,111.83
Đà Nẵng,Thanh Khê,32.1,3,2,3,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,1497.1,46.64
Hà Nội,Cầu Giấy,158.1,4,4,5,6.0,Tây Bắc,Sổ đỏ/Sổ hồng,29664.1,187.63
Hải Phòng,Ngô Quyền,311.5,4,3,3,5.0,Đông Nam,Sổ đỏ/Sổ hồng,18907.2,60.7
TP.HCM,Quận 9,199.1,3,3,1,12.0,Đông,Hợp đồng mua bán,14074.7,70.69
Đà Nẵng,Liên Chiểu,131.2,3,2,2,12.0,Đông,Sổ đỏ/Sổ hồng,7808.9,59.52
Hà Nội,Cầu Giấy,138.4,3,3,3,2.0,Bắc,Hợp đồng mua bán,19960.4,144.22
TP.HCM,Gò Vấp,121.2,3,3,2,8.0,Bắc,Sổ đỏ/Sổ hồng,10782.5,88.96
Hà Nội,Hà Đông,305.5,3,2,3,8.0,Đông Bắc,Sổ đỏ/Sổ hồng,22891.5,74.93
Hà Nội,Hoàng Mai,311.5,2,2,2,5.0,Tây,Sổ đỏ/Sổ hồng,26433.0,84.86
Hà Nội,Long Biên,104.2,3,2,2,5.0,Tây Bắc,Sổ đỏ/Sổ hồng,9518.5,91.35
TP.HCM,Quận 1,200.8,4,4,4,6.0,Tây,Sổ đỏ/Sổ hồng,58380.2,290.74
TP.HCM,Quận 1,186.1,5,5,2,3.0,Đông,Sổ đỏ/Sổ hồng,45830.2,246.27
Hải Phòng,Lê Chân,276.2,5,5,1,2.0,Nam,Sổ đỏ/Sổ hồng,10986.3,39.78
TP.HCM,Phú Nhuận,97.1,4,3,1,5.0,Đông,Sổ đỏ/Sổ hồng,17479.8,180.02
Đà Nẵng,Hải Châu,182.7,3,3,3,6.0,Nam,Hợp đồng mua bán,12968.8,70.98
TP.HCM,Phú Nhuận,158.2,3,2,5,12.0,Tây,Sổ đỏ/Sổ hồng,37322.6,235.92
TP.HCM,Quận 2,266.5,4,3,3,6.0,Tây,Sổ đỏ/Sổ hồng,44265.2,166.1
TP.HCM,Quận 9,129.4,2,1,4,12.0,Nam,Hợp đồng mua bán,12167.4,94.03
TP.HCM,Quận 9,138.7,5,4,2,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,9021.6,65.04
Đà Nẵng,Liên Chiểu,58.7,1,1,4,3.0,Tây,Hợp đồng mua bán,2410.7,41.07
Đà Nẵng,Thanh Khê,271.5,1,1,3,6.0,Nam,Sổ đỏ/Sổ hồng,14514.2,53.46
Hải Phòng,Hồng Bàng,76.6,3,3,3,12.0,Tây,Hợp đồng mua bán,3907.1,51.01
TP.HCM,Quận 9,124.7,3,3,2,12.0,Tây Bắc,Sổ đỏ/Sổ hồng,10023.7,80.38
Hà Nội,Hoàng Mai,189.8,2,2,3,3.0,Bắc,Sổ đỏ/Sổ hồng,15642.5,82.42
Cần Thơ,Ninh Kiều,113.4,4,4,3,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,5208.8,45.93
Đà Nẵng,Liên Chiểu,250.8,2,1,4,3.0,Tây Nam,Hợp đồng mua bán,11142.3,44.43
TP.HCM,Tân Bình,86.0,2,2,4,2.0,Bắc,Sổ đỏ/Sổ hồng,9185.5,106.81
Hà Nội,Thanh Xuân,313.8,4,3,1,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,35520.9,113.2
Hải Phòng,Kiến An,264.3,3,3,4,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,8928.3,33.78
Hà Nội,Đống Đa,318.5,5,5,4,3.0,Nam,Đang chờ sổ,34720.4,109.01
Hà Nội,Ba Đình,337.4,4,4,4,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,80710.1,239.21
Hà Nội,Hai Bà Trưng,30.6,5,5,4,12.0,Tây Nam,Hợp đồng mua bán,4571.4,149.39
TP.HCM,Phú Nhuận,305.9,3,3,1,6.0,Tây Nam,Hợp đồng mua bán,46597.0,152.33
Hà Nội,Nam Từ Liêm,99.4,3,2,3,3.0,Tây Nam,Sổ đỏ/Sổ hồng,10636.5,107.01
TP.HCM,Phú Nhuận,343.9,3,3,3,8.0,Đông,Sổ đỏ/Sổ hồng,74863.4,217.69
Đà Nẵng,Sơn Trà,245.2,3,3,5,5.0,Đông Nam,Sổ đỏ/Sổ hồng,19951.6,81.37
Cần Thơ,Bình Thủy,114.5,2,1,4,2.0,Tây Nam,Sổ đỏ/Sổ hồng,2918.9,25.49
TP.HCM,Quận 1,297.1,2,1,3,2.0,Tây Nam,Sổ đỏ/Sổ hồng,76142.6,256.29
TP.HCM,Bình Thạnh,337.3,3,2,5,6.0,Đông Nam,Sổ đỏ/Sổ hồng,61676.1,182.85
TP.HCM,Gò Vấp,214.5,3,2,3,5.0,Tây Bắc,Sổ đỏ/Sổ hồng,18593.3,86.68
Hải Phòng,Kiến An,311.3,4,3,3,12.0,Đông Nam,Đang chờ sổ,12086.2,38.82
TP.HCM,Tân Bình,118.1,4,4,2,6.0,Tây,Hợp đồng mua bán,11495.7,97.34
TP.HCM,Phú Nhuận,45.3,3,3,3,5.0,Đông,Hợp đồng mua bán,7916.0,174.75
Hà Nội,Hoàn Kiếm,48.1,2,1,3,3.0,Đông Bắc,Đang chờ sổ,7905.4,164.35
TP.HCM,Bình Thạnh,341.2,4,3,2,5.0,Tây Bắc,Sổ đỏ/Sổ hồng,35822.4,104.99
TP.HCM,Thủ Đức,67.1,3,3,3,6.0,Tây Bắc,Đang chờ sổ,4202.0,62.62
Hải Phòng,Ngô Quyền,136.4,4,4,2,8.0,Tây,Hợp đồng mua bán,5977.2,43.82
TP.HCM,Phú Nhuận,180.5,4,3,2,4.0,Bắc,Sổ đỏ/Sổ hồng,28567.4,158.27
Hà Nội,Long Biên,344.9,3,3,1,12.0,Tây,Sổ đỏ/Sổ hồng,38025.9,110.25
TP.HCM,Quận 7,347.3,4,3,2,10.0,Tây Nam,Hợp đồng mua bán,56641.3,163.09
Hải Phòng,Kiến An,30.1,3,3,4,10.0,Bắc,Sổ đỏ/Sổ hồng,1403.0,46.61
TP.HCM,Quận 7,284.9,2,2,3,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,30676.4,107.67
Cần Thơ,Ninh Kiều,190.8,4,3,3,10.0,Đông Bắc,Sổ đỏ/Sổ hồng,10183.5,53.37
TP.HCM,Gò Vấp,67.8,4,4,2,5.0,Nam,Sổ đỏ/Sổ hồng,8498.8,125.35
Hà Nội,Hai Bà Trưng,340.2,3,3,4,12.0,Nam,Đang chờ sổ,56653.5,166.53
Hà Nội,Thanh Xuân,81.9,4,4,2,6.0,Tây,Sổ đỏ/Sổ hồng,9181.9,112.11
Đà Nẵng,Liên Chiểu,308.0,4,3,3,2.0,Đông Bắc,Sổ đỏ/Sổ hồng,13104.3,42.55
Hà Nội,Hà Đông,183.0,5,5,5,12.0,Tây Bắc,Đang chờ sổ,17435.7,95.28
TP.HCM,Phú Nhuận,176.5,4,3,3,8.0,Tây,Sổ đỏ/Sổ hồng,33214.0,188.18
Hải Phòng,Ngô Quyền,154.3,4,4,3,8.0,Đông Nam,Sổ đỏ/Sổ hồng,9015.1,58.43
Hà Nội,Nam Từ Liêm,177.2,4,4,1,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,16962.2,95.72
Đà Nẵng,Hải Châu,283.7,4,3,2,10.0,Bắc,Hợp đồng mua bán,16710.3,58.9
TP.HCM,Thủ Đức,324.8,4,4,4,8.0,Nam,Hợp đồng mua bán,27499.1,84.66
Đà Nẵng,Thanh Khê,245.2,3,3,5,8.0,Tây,Sổ đỏ/Sổ hồng,16327.7,66.59
TP.HCM,Thủ Đức,277.0,2,2,2,6.0,Nam,Sổ đỏ/Sổ hồng,22576.6,81.5
TP.HCM,Quận 1,237.3,2,1,4,10.0,Đông Nam,Hợp đồng mua bán,83380.8,351.37
Hà Nội,Đống Đa,338.1,1,1,3,5.0,Tây Nam,Sổ đỏ/Sổ hồng,54114.9,160.06
Hà Nội,Hà Đông,126.8,4,3,2,12.0,Đông,Đang chờ sổ,8727.3,68.83
TP.HCM,Bình Thạnh,89.5,2,2,2,5.0,Tây Nam,Sổ đỏ/Sổ hồng,13691.7,152.98
TP.HCM,Quận 3,86.6,1,1,3,3.0,Bắc,Hợp đồng mua bán,15520.5,179.22
Hải Phòng,Hồng Bàng,62.3,5,5,1,5.0,Đông,Hợp đồng mua bán,2457.0,39.44
TP.HCM,Quận 3,316.1,5,5,2,12.0,Đông,Sổ đỏ/Sổ hồng,81226.3,256.96
Hải Phòng,Hồng Bàng,164.7,4,3,2,6.0,Đông,Sổ đỏ/Sổ hồng,8839.2,53.67
Hải Phòng,Ngô Quyền,218.7,3,3,3,3.0,Đông Nam,Sổ đỏ/Sổ hồng,8510.6,38.91
Hà Nội,Long Biên,239.1,5,4,4,12.0,Tây Nam,Hợp đồng mua bán,23909.3,100.0
TP.HCM,Bình Thạnh,28.5,4,4,4,3.0,Đông Nam,Sổ đỏ/Sổ hồng,3825.7,134.23
Hà Nội,Hai Bà Trưng,94.8,2,1,4,12.0,Bắc,Sổ đỏ/Sổ hồng,17734.5,187.07
Hà Nội,Long Biên,81.1,3,3,3,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,9138.5,112.68
Hà Nội,Hoàng Mai,165.2,3,3,2,2.0,Bắc,Sổ đỏ/Sổ hồng,11438.7,69.24
Cần Thơ,Ninh Kiều,107.2,3,2,4,10.0,Đông,Sổ đỏ/Sổ hồng,6809.2,63.52
Đà Nẵng,Hải Châu,131.7,2,2,4,12.0,Đông Bắc,Đang chờ sổ,9834.5,74.67
